model,rmse,mae,rmse_low,rmse_high,mae_low,mae_high,n_low,n_high
Random Baseline,1.9234390427717287,1.5399683013238858,1.558779018095091,2.086117467173428,1.287562845133108,1.6696208069318808,36399,70861
Global Average,0.9802464329247477,0.7824800764364432,1.2966352027820176,0.7686659317742033,1.163984854085968,0.5865134318552904,36399,70861
User Average,0.910432789251207,0.6970512971141586,1.1588708011005586,0.7515414830375485,0.9400184426589487,0.5722469459099023,36399,70861
Book Average,0.9571394664786755,0.7676524079955767,1.2394858550976322,0.7730036038708322,1.0666240776550355,0.6140803471449726,36399,70861
User + Book Bias,0.8678029100113961,0.6883113685196461,1.1372522638466782,0.68961395710185,0.9650807525711621,0.5461439024933252,36399,70861
Goodreads Average,0.9450065843830491,0.7473834607495805,1.3257626122443023,0.67001177721037,1.1809112887716695,0.5246942605946853,36399,70861
Ridge (all features),0.8104246502597169,0.6216030252165259,1.0433188590300577,0.659563786602384,0.8601994702654068,0.4990437612584359,36399,70861
