feature,importance
book_emb_205,16
book_emb_338,16
book_emb_161,16
book_emb_586,16
book_emb_24,16
book_emb_311,16
book_emb_458,16
book_emb_120,16
book_emb_123,16
book_emb_277,16
book_emb_67,16
book_emb_68,16
book_emb_447,16
book_emb_738,16
book_emb_477,15
book_emb_196,15
book_emb_614,15
book_emb_434,15
book_emb_145,15
book_emb_270,15
book_emb_193,15
book_emb_306,15
book_emb_224,15
book_emb_115,15
book_emb_665,15
book_emb_554,15
book_emb_235,15
book_emb_382,15
book_emb_210,15
book_emb_676,15
book_emb_396,15
book_emb_91,15
book_emb_708,15
book_emb_712,15
book_emb_106,15
book_emb_355,15
book_emb_346,15
book_emb_723,14
book_emb_745,14
book_emb_728,14
book_emb_41,14
book_emb_7,14
book_emb_116,14
book_emb_673,14
book_emb_254,14
book_emb_360,14
book_emb_345,14
book_emb_16,14
book_emb_602,14
book_emb_303,14
book_emb_592,14
book_emb_333,14
book_emb_756,14
book_emb_439,14
book_emb_385,14
book_emb_703,14
book_emb_433,14
book_emb_468,14
book_emb_39,14
book_emb_108,14
book_emb_347,14
book_emb_216,14
book_emb_339,14
book_emb_717,14
book_emb_364,14
book_emb_5,13
book_emb_633,13
book_emb_598,13
book_emb_23,13
book_emb_298,13
book_emb_394,13
book_emb_378,13
book_emb_529,13
book_emb_374,13
book_emb_597,13
book_emb_159,13
book_emb_438,13
book_emb_261,13
book_emb_431,13
book_emb_267,13
book_emb_687,13
book_emb_266,13
book_emb_36,13
book_emb_671,13
book_emb_158,13
book_emb_425,13
book_emb_536,13
book_emb_553,13
book_emb_571,13
book_emb_59,13
book_emb_343,13
book_emb_217,13
book_emb_129,13
book_emb_714,13
book_emb_663,13
book_emb_518,13
book_emb_605,12
book_emb_744,12
book_emb_329,12
book_emb_288,12
book_emb_28,12
book_emb_215,12
book_emb_241,12
book_emb_387,12
book_emb_561,12
book_emb_564,12
book_emb_556,12
book_emb_573,12
book_emb_569,12
book_emb_547,12
book_emb_164,12
book_emb_133,12
book_emb_577,12
book_emb_351,12
book_emb_353,12
book_emb_375,12
book_emb_372,12
book_emb_175,12
book_emb_35,12
book_emb_31,12
book_emb_119,12
book_emb_695,12
book_emb_483,12
book_emb_513,12
book_emb_512,12
book_emb_275,12
book_emb_40,12
book_emb_473,12
book_emb_752,12
book_emb_622,12
book_emb_741,12
book_emb_762,12
book_emb_65,12
book_emb_3,12
book_emb_73,11
book_emb_419,11
book_emb_427,11
book_emb_33,11
book_emb_686,11
book_emb_660,11
book_emb_668,11
book_emb_283,11
book_emb_121,11
book_emb_674,11
book_emb_199,11
book_emb_354,11
book_emb_58,11
book_emb_107,11
book_emb_177,11
book_emb_295,11
book_emb_212,11
book_emb_321,11
book_emb_607,11
book_emb_357,11
book_emb_151,11
book_emb_344,11
book_emb_335,11
book_emb_60,11
book_emb_521,11
book_emb_361,11
book_emb_408,11
book_emb_701,11
book_emb_699,11
book_emb_534,11
book_emb_400,11
book_emb_504,11
book_emb_390,11
book_emb_407,11
book_emb_430,11
book_emb_240,11
book_emb_486,11
book_emb_231,11
book_emb_284,10
book_emb_401,10
book_emb_640,10
book_emb_648,10
book_emb_404,10
book_emb_398,10
book_emb_685,10
book_emb_273,10
book_emb_416,10
book_emb_146,10
book_emb_185,10
book_emb_178,10
book_emb_180,10
book_emb_147,10
book_emb_45,10
book_emb_153,10
book_emb_466,10
book_emb_285,10
book_emb_463,10
book_emb_659,10
book_emb_610,10
book_emb_725,10
book_emb_766,10
book_emb_590,10
book_emb_593,10
book_emb_76,10
book_emb_587,10
book_emb_204,10
book_emb_700,10
book_emb_90,10
book_emb_20,10
book_emb_19,10
book_emb_61,10
book_emb_653,10
book_emb_49,10
book_emb_524,10
book_emb_411,10
book_emb_228,10
book_emb_680,10
book_emb_366,10
book_emb_367,10
book_emb_519,10
book_emb_99,10
book_emb_581,10
book_emb_170,10
book_emb_696,9
book_emb_526,9
book_emb_601,9
book_emb_132,9
book_emb_722,9
book_emb_74,9
book_emb_580,9
book_emb_134,9
book_emb_128,9
book_emb_15,9
book_emb_103,9
book_emb_57,9
book_emb_638,9
book_emb_246,9
book_emb_208,9
book_emb_409,9
book_emb_388,9
book_emb_392,9
book_emb_268,9
book_emb_464,9
book_emb_156,9
book_emb_619,9
book_emb_472,9
book_emb_38,9
book_emb_257,9
book_emb_442,9
book_emb_470,9
book_emb_621,9
book_emb_661,9
book_emb_160,9
book_emb_754,9
book_emb_424,9
book_emb_242,9
book_emb_502,9
book_emb_697,8
book_emb_578,8
book_emb_37,8
book_emb_154,8
book_emb_252,8
book_emb_157,8
book_emb_44,8
book_emb_183,8
book_emb_698,8
book_emb_435,8
book_emb_459,8
book_emb_733,8
book_emb_684,8
book_emb_734,8
book_emb_763,8
book_emb_681,8
book_emb_664,8
book_emb_457,8
book_emb_627,8
book_emb_325,8
book_emb_143,8
book_emb_174,8
