Model,RMSE,Type,Improvement
[BASELINE] User+Book,0.8104246502597169,Baseline,0.0
CatBoost (786 features),0.7731355701984911,Gradient Boosting,4.601177919412463
LightGBM (786 features),0.7868857368504923,Gradient Boosting,2.9045159721734795
KNN базовые фичи (k=50),0.7819498170496009,Distance-based,3.513569484959605
MLP Neural Network,0.8046182769333324,Neural Network,0.7164606017997702
Stacking (без MLP),0.7256,Ensemble,10.46669178097348
Stacking (с MLP),0.721730036043195,Ensemble + NN,10.94421476297617
