model,rmse,mae,rmse_low,rmse_high,improvement
Stacking Ridge,0.7255883550135199,0.577333449993704,0.8927972845393,0.6223034918424052,10.468128680317099
Optimized Weighted Ensemble,0.758542250888136,0.5897956198835729,1.0594693753863451,0.5425536338463118,6.401878244319708
Simple Weighted Ensemble,0.7646363601069253,0.5888197014122872,1.062736233153362,0.5521355907271863,5.649913306328706
CatBoost (786 features),0.7731355701984911,0.591905119147302,1.0657532661731715,0.5668672533955968,4.601177919412463
KNN базовые фичи (k=50),0.7819498170496009,0.6156575134593443,1.0746783825827404,0.5764315067614912,3.513569484959605
Hybrid Rule-Based,0.7839113379261983,0.6205096695809663,1.087165635284279,0.5683799395503238,3.2715333035615206
LightGBM (786 features),0.7868857368504923,0.601930602354471,1.089007043992353,0.5727735137391017,2.9045159721734795
Hybrid Adaptive,0.7979237349101688,0.629446910007873,1.108297846526915,0.5768665758019538,1.5425142048112608
