Model,RMSE,Status,Improvement
[BASELINE],0.8104246502597169,Baseline,0.0
CatBoost,0.7731355701984911,ML,4.601177919412463
LightGBM,0.7868857368504923,ML,2.9045159721734795
KNN,0.7819498170496009,ML,3.513569484959605
MLP (старая - БЕЗ embeddings),0.8046,NN (bad),0.7187158309967836
MLP (новая - С embeddings),0.8046182769333324,NN (fixed),0.7164606017997702
Stacking (старый),0.7217,Ensemble,10.947920973440686
Stacking (новый),0.721730036043195,Ensemble (fixed),10.94421476297617
