model,rmse,mae,rmse_low,rmse_high,beats_baseline
Random Forest,0.7788796359200222,0.6055791731458321,1.0540820034441198,0.5895263975843801,True
LightGBM,0.7954640644269767,0.6064704671814043,1.0907839941815012,0.5887497460322182,True
CatBoost GPU,0.7933611513843545,0.6049686240403233,1.0834914911864126,0.5913658118420136,True
KNN на фичах (k=50),0.7819498170496012,0.6156575134593456,1.074678382582742,0.5764315067614906,True
KNN на embeddings (k=30),0.9971840726520179,0.8437472807508235,1.128586351648343,0.9224384799767548,False
