feature,importance
avg_user_rating,0.32951314507187585
book_avg_rating,0.06808569401506702
embedding_cosine_sim,0.054640606722658525
embedding_euclidean_dist,0.051697731450837975
average_rating,0.04259858647752648
book_popularity,0.034601037814980334
activity_score,0.016058911499154675
tag_vocab_size,0.015959975354797686
ratings_count,0.012994458591884986
history_similarity,0.011281407577799184
tag_jaccard,0.010411849139324166
tag_overlap_ratio,0.008874882884129763
tag_overlap_count,0.008708926506060451
segment_encoded,0.005018433175867052
book_emb_327,0.00270654987954347
book_emb_195,0.002470211934193347
book_emb_232,0.002070479955360256
book_emb_118,0.0017385481352018485
book_emb_236,0.0016794475561478215
book_emb_117,0.0016371458851380657
book_emb_326,0.0016195677888297816
book_emb_57,0.0015707725398005363
book_emb_141,0.0014991524093665406
book_emb_296,0.0014639583809931134
book_emb_222,0.0014503525635517368
book_emb_25,0.0013818956972096058
book_emb_142,0.0013666024187124213
book_ratings_count,0.0013428450223629065
book_emb_346,0.00132002369130963
book_emb_77,0.0013016759128930328
book_emb_7,0.0012731744103829956
book_emb_38,0.0012686787972581797
book_emb_166,0.0012651605118788282
book_emb_331,0.001224618366625718
book_emb_244,0.001210997438343423
book_emb_168,0.001209117852904689
book_emb_357,0.0012062900449804344
book_emb_334,0.0011969031591561
book_emb_188,0.0011886572337729865
book_emb_255,0.001158844993521699
book_emb_73,0.0011569905961762521
book_emb_63,0.001103279083820121
book_emb_99,0.00110214535463753
book_emb_363,0.0011000615386734234
book_emb_226,0.001047514932260996
book_emb_128,0.0010145112465998116
year_normalized,0.0010048496521078546
book_emb_110,0.0009985022823448644
book_emb_37,0.0009932988078367488
book_emb_253,0.0009894967012789798
book_emb_359,0.0009806049244008215
book_emb_189,0.000980047776786422
book_emb_217,0.0009733871517284217
book_emb_8,0.0009653359002473974
book_emb_80,0.0009646679667980812
book_emb_22,0.000910784300739408
book_emb_350,0.0008977762769345839
book_emb_245,0.0008847604898922917
book_emb_220,0.0008620434413203728
book_emb_1,0.0008447669672418304
book_emb_338,0.0008296869850924353
book_emb_251,0.0008289640190507834
book_emb_235,0.0008204928947765846
book_emb_324,0.0008142914143340845
book_emb_225,0.0008087435490430757
book_emb_356,0.0008008390193809064
book_emb_240,0.0007989408961717854
book_emb_48,0.0007918459222255028
book_emb_186,0.0007823260540189908
book_emb_301,0.000782316994457621
book_emb_41,0.0007767520116895521
book_emb_124,0.000761334456809487
book_emb_335,0.000760214077391896
book_emb_101,0.0007574868857217654
book_emb_136,0.0007535779481518168
book_emb_85,0.0007474163724359301
book_emb_84,0.0007450040577086042
book_emb_344,0.0007384248222142191
book_emb_345,0.0007317960116433846
book_emb_129,0.0007296248084969557
book_emb_208,0.0007207442060792883
book_emb_177,0.0007171522705556019
book_emb_310,0.0007049758252679187
book_emb_315,0.0007005814776886947
book_emb_378,0.000699381042583184
book_emb_4,0.0006983851851061683
book_emb_94,0.000691995769423036
book_emb_619,0.0006832003747766624
book_emb_29,0.000682800860236637
book_emb_196,0.0006818476862371146
book_emb_106,0.0006652699222775118
book_emb_259,0.000657149968208882
book_emb_61,0.0006524602126934254
book_emb_336,0.0006514853895060925
book_emb_342,0.0006486162971502709
book_emb_198,0.000646516783546134
book_emb_30,0.0006371582618776196
book_emb_138,0.0006364213263063434
book_emb_241,0.0006344845137344463
book_emb_89,0.0006283337545601427
book_emb_328,0.0006175370418970066
book_emb_340,0.0006132351368594088
book_emb_62,0.0006063457911825651
book_emb_100,0.0006053007579868469
book_emb_202,0.0006020493527483721
book_emb_171,0.0006016970061158947
book_emb_280,0.00059644431283895
book_emb_97,0.0005952667168628176
book_emb_218,0.0005940953788666371
book_emb_81,0.0005912169392337431
book_emb_239,0.0005905158715830761
book_emb_14,0.0005865634875438868
book_emb_175,0.0005819985276708075
book_emb_307,0.0005812173796442169
book_emb_72,0.0005800425732204723
