Model,RMSE,MAE,Precision@1,Recall@1,nDCG@1
MLP,0.8287972430942616,0.6331438429213866,0.8828065845929499,0.4754734662591024,0.9502115295983559
Stacking (с MLP),0.7177513545193849,0.5723730267395651,0.8781034579386875,0.476028881540847,0.8923354780857408
